ref_id_str,piezas_ok_totales,piezas_scrap_totales,consumo_materia_kg_total,peso_neto_kg_media,scrap_rate_medio,throughput_uph_medio,yield_kg_ok,kg_scrap_estimados,ratio_mp_por_1000_ok,peso_positivo
000305,674852,547,3374260.0,5.0,0.04188814604863143,198.0023865075328,3374260.0,0.0,5000.0,True
002260,86,0,84.538,0.983,0.0,452.910447761194,84.538,0.0,983.0,True
003501,868,31,824.6,0.95,0.05088028169014084,9.43667805083479,824.5999999999999,1.1368683772161603e-13,950.0,True
003800,339358,232,334267.63,0.985,0.024095484116121467,437.41331450597727,334267.63,0.0,985.0,True
006700,136704,117,133012.992,0.973,0.04390543423481574,227.62671046256585,133012.992,0.0,972.9999999999999,True
008011,125318,268,62157.728,0.496,0.00951339985853599,159.15125741861672,62157.728,0.0,496.00000000000006,True
008091,446194,201,530970.86,1.19,0.04094488113945626,257.8961441272349,530970.86,0.0,1190.0,True
008203,100,0,97.0,0.97,0.0,63.67096018735363,97.0,0.0,970.0,True
009400,90805,110,72644.0,0.8,0.03095291708665,323.62640750349135,72644.0,0.0,799.9999999999999,True
010002,556,16,600.48,1.08,0.030769230769230733,40.44748442012464,600.48,0.0,1080.0,True
042421,16835,68,22895.600000000002,1.36,0.039917654116760626,24.614348415169143,22895.600000000002,0.0,1360.0,True
049390,53044,111,79035.56,1.49,0.04492268083944101,51.488770376820334,79035.56,0.0,1490.0,True
055105,48117,90,37531.26,0.78,0.033072098986645614,311.8040485963883,37531.26,0.0,780.0000000000001,True
081000,1794108,1236,2852631.72,1.59,0.008729614520119949,923.2047539426512,2852631.72,0.0,1590.0000000000002,True
081002,9806,4,15591.54,1.59,0.21000000000000002,985.830314685986,15591.54,0.0,1590.0000000000002,True
081302,28261,122,15543.550000000001,0.55,0.03926612513759663,210.46961538672932,15543.550000000001,0.0,550.0,True
081303,1235060,1314,802789.0,0.65,0.022599254986087534,434.33318300060097,802789.0,0.0,650.0,True
081505,64501,70,39990.62,0.62,0.019120401780269913,2604.35039356274,39990.62,0.0,620.0,True
081602,404718,662,331868.76,0.82,0.011867115324658692,173.11749988903432,331868.76,0.0,820.0,True
081803,733792,1717,462288.96,0.63,0.032844504299716,198.94810413181193,462288.96,0.0,630.0,True
081901,1214710,1003,1081091.9,0.8900000000000001,0.015484403258300857,295.89882297239456,1081091.9000000001,-2.3283064365386963e-10,889.9999999999999,True
081902,112136,66,77373.84,0.69,0.03084373808947022,146.44803170634182,77373.84,0.0,690.0,True
086503,1191777,633,977257.14,0.8200000000000001,0.01843924107548714,279.7111280017046,977257.1400000001,-1.1641532182693481e-10,820.0,True
091700,67235,49,67235.0,1.0,0.0016565503390913,313.14069919232907,67235.0,0.0,1000.0,True
092901,27020,56,76196.4,2.82,0.05288167945367037,595.6297791279096,76196.4,0.0,2820.0,True
094900,49929,16,48680.775,0.975,0.007518031373608158,212.69973615563677,48680.775,0.0,975.0,True
118302,49459,58,52426.54,1.06,0.15454615199164728,214.36173240223476,52426.54,0.0,1060.0,True
121105,2151,0,3699.72,1.72,0.0,10.0,3699.72,0.0,1720.0,True
190301,294877,641,622190.47,2.11,0.04572032812532532,531.318805777054,622190.47,0.0,2110.0,True
190900,73305,155,93097.35,1.27,0.03417581527845654,79.7712769576015,93097.35,0.0,1270.0,True
191000,0,0,0.0,0.92,,,0.0,0.0,,True
394205,42411,77,36473.46,0.86,0.06569234734632828,373.6352587855538,36473.46,0.0,860.0,True
473205,608250,535,3126405.0,5.14,0.047713258035174955,770.7185543307663,3126405.0,0.0,5140.0,True
510086,325931,357,880013.7000000001,2.7,0.05803134499204742,419.1908753284362,880013.7000000001,0.0,2700.0000000000005,True
552012,354471,795,183615.978,0.518,0.019938934497965542,324.1323079999188,183615.978,0.0,518.0,True
563404,1087131,1337,690328.185,0.635,0.0181827355563261,627.6438631992104,690328.185,0.0,635.0,True
613839,45389,22,408501.0,9.0,0.010063287118768867,203.42879508327698,408501.0,0.0,9000.0,True
704388,15768,49,24629.616,1.562,0.09621790491447706,336.23187458843813,24629.616,0.0,1562.0,True
704389,23105,39,12222.545,0.529,0.12242696376391679,533.2627565347115,12222.545,0.0,529.0,True
818500,43113,70,33628.14,0.78,0.03627287251570788,100.36746339562015,33628.14,0.0,780.0,True
902081,1381366,1779,1395179.66,1.01,0.025736403778404724,163.08017084255857,1395179.66,0.0,1010.0,True
904802,490541,334,333567.88,0.68,0.02245187344584227,366.8912815564373,333567.88,0.0,680.0,True
911100,3670,0,2569.0,0.6999999999999998,0.0,58144.8275862069,2568.9999999999995,4.547473508864641e-13,700.0,True
913600,178585,539,125902.425,0.705,0.060030395899666904,843.8816162891452,125902.42499999999,1.4551915228366852e-11,705.0,True
918801,175202,261,91455.444,0.522,0.037264983914251176,860.5617731902875,91455.444,0.0,522.0,True
936105,181702,196,508765.6,2.8,0.04224581263049793,355.8443735059039,508765.6,0.0,2800.0,True
936205,523009,671,1464425.2,2.8,0.04771839922924834,650.6851404797134,1464425.2,0.0,2800.0,True
936305,483990,484,1432610.4,2.96,0.0413035115219643,180.20761412098076,1432610.4,0.0,2959.9999999999995,True
