target,split,MAE,RMSE,MAPE
consumo_materia_kg_target,val_baseline_global,1510.3302849002848,3142.6569671972397,7.8160498893323105
kg_scrap_target,val_baseline_global,2.3727142441376493e-14,1.5230472174622048e-13,2.3727142441376494e-08
horas_fabricacion_target,val_baseline_global,2.556410256410256,2.941726020293902,3.1878491745038895
consumo_materia_kg_target,val_baseline_ref_mediana,1459.4578603988605,3068.4794625784716,7.65234059960998
kg_scrap_target,val_baseline_ref_mediana,2.3727142441376493e-14,1.5230472174622048e-13,2.3727142441376494e-08
horas_fabricacion_target,val_baseline_ref_mediana,2.5935897435897433,2.9947609432133118,3.1646855458697365
consumo_materia_kg_target,test_baseline_global,1287.4324708392603,2465.9864791806795,7.940914325250097
kg_scrap_target,test_baseline_global,1.6819168153994193e-14,1.1720788645796228e-13,1.6819168153994194e-08
horas_fabricacion_target,test_baseline_global,2.6267662399241347,2.9378757422727957,4.15696164705968
consumo_materia_kg_target,test_baseline_ref_mediana,1275.5914623044096,2443.2530681132016,7.808423134341329
kg_scrap_target,test_baseline_ref_mediana,1.6819168153994193e-14,1.1720788645796228e-13,1.6819168153994194e-08
horas_fabricacion_target,test_baseline_ref_mediana,2.6230559506875295,2.9598106356210656,4.157541468509196
